geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1001,-23.55038054,-46.634027,sao paulo,SP
1002,-23.54855107,-46.63507239,sao paulo,SP
1003,-23.54897653,-46.63531311,sao paulo,SP
1004,-23.54953495,-46.63477058,sao paulo,SP
1005,-23.54961248,-46.63653203,sao paulo,SP
1006,-23.55031722,-46.6362255,sao paulo,SP
1007,-23.55034858,-46.63734214,sao paulo,SP
1008,-23.54539598,-46.63559859,sao paulo,SP
1009,-23.5469354,-46.63658793,sao paulo,SP
1010,-23.54565701,-46.63468953,sao paulo,SP
1011,-23.54669049,-46.63544696,sao paulo,SP
1012,-23.54774227,-46.63488111,sao paulo,SP
1013,-23.54730787,-46.63423573,sao paulo,SP
1014,-23.54606595,-46.63358225,sao paulo,SP
1015,-23.5479735,-46.63170131,sao paulo,SP
1016,-23.54925105,-46.63213552,sao paulo,SP
1017,-23.54968992,-46.63111414,sao paulo,SP
1018,-23.55059832,-46.63188,sao paulo,SP
1019,-23.55166352,-46.63093169,sao paulo,SP
1020,-23.55249447,-46.62960898,sao paulo,SP
1021,-23.54418466,-46.63214268,sao paulo,SP
1022,-23.54449763,-46.63146175,sao paulo,SP
1023,-23.54209288,-46.63137717,sao paulo,SP
1024,-23.54138952,-46.62989909,sao paulo,SP
1025,-23.54041081,-46.63126494,sao paulo,SP
1026,-23.5394395,-46.63284391,sao paulo,SP
1027,-23.5380152,-46.63043883,sao paulo,SP
1028,-23.53602775,-46.63287853,sao paulo,SP
1029,-23.54109585,-46.63297044,sao paulo,SP
1030,-23.5383993,-46.63297206,sao paulo,SP
1031,-23.54252079,-46.63533516,sao paulo,SP
1032,-23.5407423,-46.63525059,sao paulo,SP
1033,-23.54003535,-46.63581028,sao paulo,SP
1034,-23.54239163,-46.63745559,sao paulo,SP
1035,-23.54098383,-46.64256856,sao paulo,SP
1036,-23.54170002,-46.64131782,sao paulo,SP
1037,-23.54541001,-46.63881853,sao paulo,SP
1038,-23.54413981,-46.64041077,sao paulo,SP
1039,-23.54175384,-46.63976074,sao paulo,SP
1040,-23.5406307,-46.6378423,sao paulo,SP
1041,-23.54371285,-46.64026323,sao paulo,SP
1042,-23.54488037,-46.64032833,sao paulo,SP
1043,-23.54578197,-46.64137663,sao paulo,SP
1044,-23.54566251,-46.64138465,sao paulo,SP
1045,-23.54239292,-46.64280269,sao paulo,SP
1046,-23.54608113,-46.64381019,sao paulo,SP
1047,-23.54627311,-46.64122517,sao paulo,SP
1048,-23.54716209,-46.63955914,sao paulo,SP
1049,-23.54775737,-46.64021604,sao paulo,SP
1050,-23.54898588,-46.6431394,sao paulo,SP
1101,-23.52609127,-46.63137212,sao paulo,SP
1102,-23.52261022,-46.62942388,sao paulo,SP
1103,-23.53545339,-46.63170629,sao paulo,SP
1104,-23.53500886,-46.62963536,sao paulo,SP
1105,-23.53422015,-46.6295726,sao paulo,SP
1106,-23.53104679,-46.62865355,sao paulo,SP
1107,-23.52748848,-46.62717387,sao paulo,SP
1108,-23.52756188,-46.62943665,sao paulo,SP
1109,-23.52443609,-46.62745597,sao paulo,SP
1120,-23.53053479,-46.63934288,sao paulo,SP
1121,-23.52853505,-46.63568569,sao paulo,SP
1122,-23.53128077,-46.63949769,sao paulo,SP
1123,-23.52934877,-46.63675764,sao paulo,SP
1124,-23.52834449,-46.6329846,sao paulo,SP
1125,-23.52699701,-46.64019737,sao paulo,SP
1126,-23.52657821,-46.63928794,sao paulo,SP
1127,-23.52586515,-46.64009774,sao paulo,SP
1128,-23.52383699,-46.64068779,sao paulo,SP
1129,-23.52437263,-46.64555244,sao paulo,SP
1130,-23.52332871,-46.64480242,sao paulo,SP
1131,-23.52238459,-46.64586323,sao paulo,SP
1132,-23.52090546,-46.6484066,sao paulo,SP
1133,-23.5196585,-46.65398782,sao paulo,SP
1134,-23.51867681,-46.65311591,sao paulo,SP
1135,-23.52690825,-46.65089424,sao paulo,SP
1136,-23.5235096,-46.66362145,sao paulo,SP
1137,-23.52314477,-46.65282174,sao paulo,SP
1138,-23.52250375,-46.65541993,sao paulo,SP
1139,-23.52076038,-46.66428988,sao paulo,SP
1140,-23.51877962,-46.6687076,sao paulo,SP
1141,-23.5201192,-46.66584,sao paulo,SP
1142,-23.51993431,-46.62513002,sao paulo,SP
1144,-23.52375484,-46.6720158,sao paulo,SP
1150,-23.53286949,-46.65746416,sao paulo,SP
1151,-23.531294,-46.65640409,sao paulo,SP
1152,-23.52976297,-46.65565772,sao paulo,SP
1153,-23.52889918,-46.65373657,sao paulo,SP
1154,-23.53105219,-46.6589775,sao paulo,SP
1155,-23.52899269,-46.6633209,sao paulo,SP
1156,-23.52957073,-46.66510992,sao paulo,SP
1189,-23.53210826,-46.6383947,sao paulo,SP
1200,-23.53156777,-46.64986908,sao paulo,SP
1201,-23.53560025,-46.6493563,sao paulo,SP
1202,-23.53254551,-46.64917499,sao paulo,SP
1203,-23.53541535,-46.64578357,sao paulo,SP
1204,-23.53740233,-46.64333793,sao paulo,SP
1205,-23.54042229,-46.63969481,sao paulo,SP
1206,-23.53660949,-46.64244481,sao paulo,SP
1207,-23.53936924,-46.63848621,sao paulo,SP
1208,-23.53862928,-46.6387985,sao paulo,SP
1209,-23.54072996,-46.64193702,sao paulo,SP
1210,-23.54001446,-46.6425517,sao paulo,SP
1211,-23.53775282,-46.64828926,sao paulo,SP
1212,-23.53749346,-46.63974517,sao paulo,SP
1213,-23.53641828,-46.64006459,sao paulo,SP
1214,-23.53969063,-46.64626166,sao paulo,SP
1215,-23.53610607,-46.64768841,sao paulo,SP
1216,-23.53362173,-46.64767751,sao paulo,SP
1217,-23.53327151,-46.64940664,sao paulo,SP
1218,-23.53151236,-46.6492304,sao paulo,SP
1219,-23.54146752,-46.64533737,sao paulo,SP
1220,-23.5443872,-46.64617114,sao paulo,SP
1221,-23.54586203,-46.6486534,sao paulo,SP
1222,-23.5454946,-46.65023941,sao paulo,SP
1223,-23.54385854,-46.64825318,sao paulo,SP
1224,-23.54170067,-46.65257086,sao paulo,SP
1225,-23.53968358,-46.64915472,sao paulo,SP
1226,-23.53796433,-46.65244292,sao paulo,SP
1227,-23.54785987,-46.65868448,sao paulo,SP
1228,-23.54802786,-46.65885544,sao paulo,SP
1229,-23.53911368,-46.65672262,sao paulo,SP
1230,-23.53661064,-46.65758462,sao paulo,SP
1231,-23.53736842,-46.65964184,sao paulo,SP
1232,-23.53676737,-46.65894786,sao paulo,SP
1233,-23.53508762,-46.66150429,sao paulo,SP
1234,-23.53958798,-46.66431526,sao paulo,SP
1235,-23.53696647,-46.66424679,sao paulo,SP
1236,-23.543693,-46.66730969,sao paulo,SP
1237,-23.54343711,-46.6685797,sao paulo,SP
1238,-23.54294435,-46.65326704,sao paulo,SP
1239,-23.54716237,-46.65543935,sao paulo,SP
1240,-23.54351307,-46.65885487,sao paulo,SP
1241,-23.54561361,-46.65714197,sao paulo,SP
1242,-23.54677168,-46.65749568,sao paulo,SP
